Currency,Units per USD,USD per unit,Date
AUD,1.568,0.638,2023-10-09
CAD,1.362,0.734,2023-10-09
SGD,1.368,0.731,2023-10-09
CHF,0.908,1.101,2023-10-09
CNY,7.267,0.138,2023-10-09
NZD,1.666,0.6,2023-10-09
HKD,7.83,0.128,2023-10-09
MXN,18.315,0.055,2023-10-09
PHP,56.93,0.018,2023-10-09
PLN,4.33,0.231,2023-10-09
PEN,3.832,0.261,2023-10-09
EUR,0.942,1.062,2023-10-10
GBP,0.814,1.229,2023-10-10
INR,83.162,0.012,2023-10-10
AUD,1.555,0.643,2023-10-10
CAD,1.358,0.736,2023-10-10
SGD,1.363,0.734,2023-10-10
CHF,0.904,1.106,2023-10-10
CNY,7.266,0.138,2023-10-10
NZD,1.655,0.604,2023-10-10
HKD,7.819,0.128,2023-10-10
MXN,17.985,0.056,2023-10-10
PHP,56.807,0.018,2023-10-10
PLN,4.274,0.234,2023-10-10
PEN,3.823,0.262,2023-10-10
EUR,0.942,1.061,2023-10-11
GBP,0.813,1.23,2023-10-11
INR,83.142,0.012,2023-10-11
AUD,1.561,0.641,2023-10-11
CAD,1.362,0.734,2023-10-11
SGD,1.363,0.734,2023-10-11
CHF,0.903,1.108,2023-10-11
CNY,7.29,0.137,2023-10-11
NZD,1.661,0.602,2023-10-11
HKD,7.82,0.128,2023-10-11
MXN,17.822,0.056,2023-10-11
PHP,56.722,0.018,2023-10-11
PLN,4.267,0.234,2023-10-11
PEN,3.823,0.262,2023-10-11
EUR,0.948,1.055,2023-10-12
GBP,0.819,1.221,2023-10-12
INR,83.282,0.012,2023-10-12
AUD,1.579,0.633,2023-10-12
CAD,1.366,0.732,2023-10-12
SGD,1.369,0.731,2023-10-12
CHF,0.907,1.103,2023-10-12
CNY,7.291,0.137,2023-10-12
NZD,1.683,0.594,2023-10-12
HKD,7.823,0.128,2023-10-12
MXN,17.908,0.056,2023-10-12
PHP,56.721,0.018,2023-10-12
PLN,4.301,0.232,2023-10-12
PEN,3.844,0.26,2023-10-12
EUR,0.952,1.05,2023-10-13
GBP,0.824,1.214,2023-10-13
INR,83.284,0.012,2023-10-13
AUD,1.59,0.629,2023-10-13
CAD,1.366,0.732,2023-10-13
SGD,1.37,0.73,2023-10-13
CHF,0.902,1.109,2023-10-13
CNY,7.302,0.137,2023-10-13
NZD,1.698,0.589,2023-10-13
HKD,7.824,0.128,2023-10-13
MXN,18.06,0.055,2023-10-13
PHP,56.806,0.018,2023-10-13
PLN,4.311,0.232,2023-10-13
PEN,3.849,0.26,2023-10-13
EUR,0.951,1.052,2023-10-14
GBP,0.825,1.213,2023-10-14
INR,83.359,0.012,2023-10-14
AUD,1.589,0.629,2023-10-14
CAD,1.366,0.732,2023-10-14
SGD,1.371,0.73,2023-10-14
CHF,0.903,1.107,2023-10-14
CNY,7.279,0.137,2023-10-14
NZD,1.699,0.588,2023-10-14
HKD,7.825,0.128,2023-10-14
MXN,18.071,0.055,2023-10-14
PHP,56.813,0.018,2023-10-14
PLN,4.314,0.232,2023-10-14
PEN,3.845,0.26,2023-10-14
EUR,0.951,1.051,2023-10-15
GBP,0.825,1.213,2023-10-15
INR,83.265,0.012,2023-10-15
AUD,1.588,0.63,2023-10-15
CAD,1.366,0.732,2023-10-15
SGD,1.37,0.73,2023-10-15
CHF,0.904,1.106,2023-10-15
CNY,7.264,0.138,2023-10-15
NZD,1.699,0.588,2023-10-15
HKD,7.824,0.128,2023-10-15
MXN,18.071,0.055,2023-10-15
PHP,56.788,0.018,2023-10-15
PLN,4.311,0.232,2023-10-15
PEN,3.846,0.26,2023-10-15
EUR,0.948,1.054,2023-10-16
GBP,0.82,1.22,2023-10-16
INR,83.202,0.012,2023-10-16
AUD,1.578,0.634,2023-10-16
CAD,1.362,0.734,2023-10-16
SGD,1.368,0.731,2023-10-16
CHF,0.901,1.11,2023-10-16
CNY,7.278,0.137,2023-10-16
NZD,1.689,0.592,2023-10-16
HKD,7.819,0.128,2023-10-16
MXN,17.96,0.056,2023-10-16
PHP,56.711,0.018,2023-10-16
PLN,4.226,0.237,2023-10-16
PEN,3.86,0.259,2023-10-16
EUR,0.944,1.059,2023-10-17
GBP,0.82,1.22,2023-10-17
INR,83.222,0.012,2023-10-17
AUD,1.569,0.638,2023-10-17
CAD,1.363,0.734,2023-10-17
SGD,1.368,0.731,2023-10-17
CHF,0.9,1.111,2023-10-17
CNY,7.285,0.137,2023-10-17
NZD,1.693,0.591,2023-10-17
HKD,7.824,0.128,2023-10-17
MXN,17.916,0.056,2023-10-17
PHP,56.71,0.018,2023-10-17
PLN,4.171,0.24,2023-10-17
PEN,3.859,0.259,2023-10-17
EUR,0.95,1.053,2023-10-18
GBP,0.823,1.215,2023-10-18
INR,83.277,0.012,2023-10-18
AUD,1.578,0.634,2023-10-18
CAD,1.37,0.73,2023-10-18
SGD,1.373,0.728,2023-10-18
CHF,0.899,1.113,2023-10-18
CNY,7.293,0.137,2023-10-18
NZD,1.707,0.586,2023-10-18
HKD,7.829,0.128,2023-10-18
MXN,18.255,0.055,2023-10-18
PHP,56.819,0.018,2023-10-18
PLN,4.229,0.236,2023-10-18
PEN,3.865,0.259,2023-10-18
EUR,0.946,1.057,2023-10-19
GBP,0.824,1.214,2023-10-19
INR,83.113,0.012,2023-10-19
AUD,1.581,0.632,2023-10-19
CAD,1.372,0.729,2023-10-19
SGD,1.373,0.728,2023-10-19
CHF,0.896,1.116,2023-10-19
CNY,7.304,0.137,2023-10-19
NZD,1.713,0.584,2023-10-19
HKD,7.825,0.128,2023-10-19
MXN,18.29,0.055,2023-10-19
PHP,56.731,0.018,2023-10-19
PLN,4.216,0.237,2023-10-19
PEN,3.874,0.258,2023-10-19
EUR,0.944,1.059,2023-10-20
GBP,0.823,1.215,2023-10-20
INR,83.161,0.012,2023-10-20
AUD,1.583,0.632,2023-10-20
CAD,1.369,0.73,2023-10-20
SGD,1.372,0.729,2023-10-20
CHF,0.892,1.121,2023-10-20
CNY,7.312,0.137,2023-10-20
NZD,1.716,0.583,2023-10-20
HKD,7.825,0.128,2023-10-20
MXN,18.22,0.055,2023-10-20
PHP,56.751,0.018,2023-10-20
PLN,4.211,0.237,2023-10-20
PEN,3.871,0.258,2023-10-20
EUR,0.943,1.06,2023-10-21
GBP,0.823,1.215,2023-10-21
INR,83.218,0.012,2023-10-21
AUD,1.584,0.631,2023-10-21
CAD,1.373,0.729,2023-10-21
SGD,1.373,0.728,2023-10-21
CHF,0.893,1.12,2023-10-21
CNY,7.292,0.137,2023-10-21
NZD,1.715,0.583,2023-10-21
HKD,7.824,0.128,2023-10-21
MXN,18.235,0.055,2023-10-21
PHP,56.75,0.018,2023-10-21
PLN,4.211,0.237,2023-10-21
PEN,3.871,0.258,2023-10-21
EUR,0.944,1.059,2023-10-22
GBP,0.822,1.216,2023-10-22
INR,83.145,0.012,2023-10-22
AUD,1.584,0.631,2023-10-22
CAD,1.372,0.729,2023-10-22
SGD,1.372,0.729,2023-10-22
CHF,0.893,1.12,2023-10-22
CNY,7.254,0.138,2023-10-22
NZD,1.716,0.583,2023-10-22
HKD,7.824,0.128,2023-10-22
MXN,18.235,0.055,2023-10-22
PHP,56.759,0.018,2023-10-22
PLN,4.208,0.238,2023-10-22
PEN,3.873,0.258,2023-10-22
EUR,0.939,1.065,2023-10-23
GBP,0.817,1.223,2023-10-23
INR,83.095,0.012,2023-10-23
AUD,1.578,0.634,2023-10-23
CAD,1.368,0.731,2023-10-23
SGD,1.369,0.731,2023-10-23
CHF,0.892,1.121,2023-10-23
CNY,7.277,0.137,2023-10-23
NZD,1.712,0.584,2023-10-23
HKD,7.825,0.128,2023-10-23
MXN,18.11,0.055,2023-10-23
PHP,56.792,0.018,2023-10-23
PLN,4.198,0.238,2023-10-23
PEN,3.875,0.258,2023-10-23
EUR,0.944,1.059,2023-10-24
GBP,0.822,1.217,2023-10-24
INR,83.023,0.012,2023-10-24
AUD,1.575,0.635,2023-10-24
CAD,1.375,0.727,2023-10-24
SGD,1.369,0.731,2023-10-24
CHF,0.894,1.119,2023-10-24
CNY,7.279,0.137,2023-10-24
NZD,1.715,0.583,2023-10-24
HKD,7.823,0.128,2023-10-24
MXN,18.285,0.055,2023-10-24
PHP,56.794,0.018,2023-10-24
PLN,4.215,0.237,2023-10-24
PEN,3.864,0.259,2023-10-24
EUR,0.945,1.058,2023-10-25
GBP,0.824,1.214,2023-10-25
INR,83.138,0.012,2023-10-25
AUD,1.579,0.633,2023-10-25
CAD,1.377,0.726,2023-10-25
SGD,1.37,0.73,2023-10-25
CHF,0.895,1.117,2023-10-25
CNY,7.304,0.137,2023-10-25
NZD,1.717,0.582,2023-10-25
HKD,7.822,0.128,2023-10-25
MXN,18.301,0.055,2023-10-25
PHP,56.813,0.018,2023-10-25
PLN,4.229,0.236,2023-10-25
PEN,3.867,0.259,2023-10-25
EUR,0.949,1.053,2023-10-26
GBP,0.826,1.211,2023-10-26
INR,83.247,0.012,2023-10-26
AUD,1.584,0.631,2023-10-26
CAD,1.383,0.723,2023-10-26
SGD,1.37,0.73,2023-10-26
CHF,0.899,1.112,2023-10-26
CNY,7.302,0.137,2023-10-26
NZD,1.72,0.582,2023-10-26
HKD,7.82,0.128,2023-10-26
MXN,18.187,0.055,2023-10-26
PHP,57.004,0.018,2023-10-26
PLN,4.228,0.236,2023-10-26
PEN,3.869,0.258,2023-10-26
EUR,0.944,1.059,2023-10-27
GBP,0.823,1.215,2023-10-27
INR,83.281,0.012,2023-10-27
AUD,1.575,0.635,2023-10-27
CAD,1.387,0.721,2023-10-27
SGD,1.369,0.731,2023-10-27
CHF,0.902,1.109,2023-10-27
CNY,7.313,0.137,2023-10-27
NZD,1.717,0.582,2023-10-27
HKD,7.822,0.128,2023-10-27
MXN,18.056,0.055,2023-10-27
PHP,56.934,0.018,2023-10-27
PLN,4.214,0.237,2023-10-27
PEN,3.862,0.259,2023-10-27
EUR,0.946,1.057,2023-10-28
GBP,0.825,1.212,2023-10-28
INR,83.274,0.012,2023-10-28
AUD,1.579,0.633,2023-10-28
CAD,1.387,0.721,2023-10-28
SGD,1.37,0.73,2023-10-28
CHF,0.903,1.108,2023-10-28
CNY,7.31,0.137,2023-10-28
NZD,1.72,0.581,2023-10-28
HKD,7.821,0.128,2023-10-28
MXN,18.121,0.055,2023-10-28
PHP,56.975,0.018,2023-10-28
PLN,4.222,0.237,2023-10-28
PEN,3.843,0.26,2023-10-28
EUR,0.948,1.055,2023-10-29
GBP,0.825,1.212,2023-10-29
INR,83.282,0.012,2023-10-29
AUD,1.578,0.634,2023-10-29
CAD,1.387,0.721,2023-10-29
SGD,1.37,0.73,2023-10-29
CHF,0.902,1.109,2023-10-29
CNY,7.281,0.137,2023-10-29
NZD,1.72,0.581,2023-10-29
HKD,7.822,0.128,2023-10-29
MXN,18.112,0.055,2023-10-29
PHP,56.98,0.018,2023-10-29
PLN,4.222,0.237,2023-10-29
PEN,3.843,0.26,2023-10-29
EUR,0.942,1.062,2023-10-30
GBP,0.823,1.216,2023-10-30
INR,83.267,0.012,2023-10-30
AUD,1.569,0.637,2023-10-30
CAD,1.383,0.723,2023-10-30
SGD,1.364,0.733,2023-10-30
CHF,0.902,1.109,2023-10-30
CNY,7.281,0.137,2023-10-30
NZD,1.714,0.584,2023-10-30
HKD,7.821,0.128,2023-10-30
MXN,18.027,0.055,2023-10-30
PHP,56.827,0.018,2023-10-30
PLN,4.196,0.238,2023-10-30
PEN,3.846,0.26,2023-10-30
EUR,0.946,1.057,2023-10-31
GBP,0.824,1.213,2023-10-31
INR,83.281,0.012,2023-10-31
AUD,1.579,0.633,2023-10-31
CAD,1.388,0.72,2023-10-31
SGD,1.37,0.73,2023-10-31
CHF,0.91,1.099,2023-10-31
CNY,7.288,0.137,2023-10-31
NZD,1.719,0.582,2023-10-31
HKD,7.825,0.128,2023-10-31
MXN,18.05,0.055,2023-10-31
PHP,56.848,0.018,2023-10-31
PLN,4.214,0.237,2023-10-31
PEN,3.834,0.261,2023-10-31
EUR,0.949,1.054,2023-11-01
GBP,0.825,1.213,2023-11-01
INR,83.269,0.012,2023-11-01
AUD,1.571,0.636,2023-11-01
CAD,1.388,0.72,2023-11-01
SGD,1.371,0.73,2023-11-01
CHF,0.91,1.099,2023-11-01
CNY,7.306,0.137,2023-11-01
NZD,1.715,0.583,2023-11-01
HKD,7.824,0.128,2023-11-01
MXN,17.953,0.056,2023-11-01
PHP,56.798,0.018,2023-11-01
PLN,4.237,0.236,2023-11-01
PEN,3.83,0.261,2023-11-01
EUR,0.942,1.062,2023-11-02
GBP,0.821,1.217,2023-11-02
INR,83.25,0.012,2023-11-02
AUD,1.557,0.642,2023-11-02
CAD,1.379,0.725,2023-11-02
SGD,1.365,0.733,2023-11-02
CHF,0.906,1.104,2023-11-02
CNY,7.311,0.137,2023-11-02
NZD,1.699,0.589,2023-11-02
HKD,7.825,0.128,2023-11-02
MXN,17.599,0.057,2023-11-02
PHP,56.695,0.018,2023-11-02
PLN,4.191,0.239,2023-11-02
PEN,3.802,0.263,2023-11-02
EUR,0.932,1.073,2023-11-03
GBP,0.808,1.237,2023-11-03
INR,83.15,0.012,2023-11-03
AUD,1.537,0.65,2023-11-03
CAD,1.367,0.731,2023-11-03
SGD,1.354,0.738,2023-11-03
CHF,0.898,1.113,2023-11-03
CNY,7.301,0.137,2023-11-03
NZD,1.669,0.599,2023-11-03
HKD,7.824,0.128,2023-11-03
MXN,17.375,0.058,2023-11-03
PHP,55.947,0.018,2023-11-03
PLN,4.151,0.241,2023-11-03
PEN,3.763,0.266,2023-11-03
EUR,0.932,1.073,2023-11-04
GBP,0.808,1.238,2023-11-04
INR,83.149,0.012,2023-11-04
AUD,1.536,0.651,2023-11-04
CAD,1.366,0.732,2023-11-04
SGD,1.353,0.739,2023-11-04
CHF,0.899,1.112,2023-11-04
CNY,7.291,0.137,2023-11-04
NZD,1.667,0.6,2023-11-04
HKD,7.825,0.128,2023-11-04
MXN,17.452,0.057,2023-11-04
PHP,56.076,0.018,2023-11-04
PLN,4.15,0.241,2023-11-04
PEN,3.736,0.268,2023-11-04
EUR,0.932,1.073,2023-11-05
GBP,0.808,1.238,2023-11-05
INR,83.146,0.012,2023-11-05
AUD,1.537,0.651,2023-11-05
CAD,1.366,0.732,2023-11-05
SGD,1.354,0.738,2023-11-05
CHF,0.899,1.113,2023-11-05
CNY,7.295,0.137,2023-11-05
NZD,1.667,0.6,2023-11-05
HKD,7.824,0.128,2023-11-05
MXN,17.453,0.057,2023-11-05
PHP,56.083,0.018,2023-11-05
PLN,4.147,0.241,2023-11-05
PEN,3.735,0.268,2023-11-05
EUR,0.931,1.075,2023-11-06
GBP,0.807,1.239,2023-11-06
INR,83.212,0.012,2023-11-06
AUD,1.538,0.65,2023-11-06
CAD,1.366,0.732,2023-11-06
SGD,1.35,0.741,2023-11-06
CHF,0.897,1.115,2023-11-06
CNY,7.246,0.138,2023-11-06
NZD,1.673,0.598,2023-11-06
HKD,7.82,0.128,2023-11-06
MXN,17.531,0.057,2023-11-06
PHP,55.997,0.018,2023-11-06
PLN,4.147,0.241,2023-11-06
PEN,3.763,0.266,2023-11-06
EUR,0.936,1.069,2023-11-07
GBP,0.813,1.23,2023-11-07
INR,83.225,0.012,2023-11-07
AUD,1.556,0.642,2023-11-07
CAD,1.377,0.726,2023-11-07
SGD,1.355,0.738,2023-11-07
CHF,0.9,1.111,2023-11-07
CNY,7.258,0.138,2023-11-07
NZD,1.686,0.593,2023-11-07
HKD,7.82,0.128,2023-11-07
MXN,17.47,0.057,2023-11-07
PHP,56.068,0.018,2023-11-07
PLN,4.175,0.24,2023-11-07
PEN,3.772,0.265,2023-11-07
EUR,0.933,1.071,2023-11-08
GBP,0.813,1.23,2023-11-08
INR,83.227,0.012,2023-11-08
AUD,1.558,0.642,2023-11-08
CAD,1.38,0.725,2023-11-08
SGD,1.355,0.738,2023-11-08
CHF,0.898,1.114,2023-11-08
CNY,7.271,0.138,2023-11-08
NZD,1.687,0.593,2023-11-08
HKD,7.816,0.128,2023-11-08
MXN,17.484,0.057,2023-11-08
PHP,55.894,0.018,2023-11-08
PLN,4.144,0.241,2023-11-08
PEN,3.789,0.264,2023-11-08
EUR,0.934,1.071,2023-11-09
GBP,0.815,1.228,2023-11-09
INR,83.286,0.012,2023-11-09
AUD,1.558,0.642,2023-11-09
CAD,1.377,0.726,2023-11-09
SGD,1.357,0.737,2023-11-09
CHF,0.9,1.112,2023-11-09
CNY,7.276,0.137,2023-11-09
NZD,1.682,0.594,2023-11-09
HKD,7.81,0.128,2023-11-09
MXN,17.49,0.057,2023-11-09
PHP,55.908,0.018,2023-11-09
PLN,4.134,0.242,2023-11-09
PEN,3.793,0.264,2023-11-09
EUR,0.937,1.067,2023-11-10
GBP,0.819,1.22,2023-11-10
INR,83.293,0.012,2023-11-10
AUD,1.575,0.635,2023-11-10
CAD,1.383,0.723,2023-11-10
SGD,1.361,0.735,2023-11-10
CHF,0.904,1.107,2023-11-10
CNY,7.288,0.137,2023-11-10
NZD,1.7,0.588,2023-11-10
HKD,7.812,0.128,2023-11-10
MXN,17.718,0.056,2023-11-10
PHP,55.848,0.018,2023-11-10
PLN,4.148,0.241,2023-11-10
PEN,3.796,0.263,2023-11-10
EUR,0.934,1.07,2023-11-11
GBP,0.818,1.222,2023-11-11
INR,83.34,0.012,2023-11-11
AUD,1.573,0.636,2023-11-11
CAD,1.38,0.725,2023-11-11
SGD,1.361,0.735,2023-11-11
CHF,0.903,1.108,2023-11-11
CNY,7.272,0.138,2023-11-11
NZD,1.697,0.589,2023-11-11
HKD,7.809,0.128,2023-11-11
MXN,17.674,0.057,2023-11-11
PHP,55.955,0.018,2023-11-11
PLN,4.144,0.241,2023-11-11
PEN,3.816,0.262,2023-11-11
EUR,0.936,1.069,2023-11-12
GBP,0.818,1.222,2023-11-12
INR,83.315,0.012,2023-11-12
AUD,1.572,0.636,2023-11-12
CAD,1.38,0.725,2023-11-12
SGD,1.36,0.735,2023-11-12
CHF,0.903,1.108,2023-11-12
CNY,7.251,0.138,2023-11-12
NZD,1.696,0.589,2023-11-12
HKD,7.809,0.128,2023-11-12
MXN,17.669,0.057,2023-11-12
PHP,55.847,0.018,2023-11-12
PLN,4.139,0.242,2023-11-12
PEN,3.816,0.262,2023-11-12
EUR,0.935,1.07,2023-11-13
GBP,0.815,1.227,2023-11-13
INR,83.225,0.012,2023-11-13
AUD,1.566,0.639,2023-11-13
CAD,1.378,0.726,2023-11-13
SGD,1.359,0.736,2023-11-13
CHF,0.901,1.109,2023-11-13
CNY,7.26,0.138,2023-11-13
NZD,1.698,0.589,2023-11-13
HKD,7.807,0.128,2023-11-13
MXN,17.584,0.057,2023-11-13
PHP,56.037,0.018,2023-11-13
PLN,4.136,0.242,2023-11-13
PEN,3.796,0.263,2023-11-13
EUR,0.921,1.086,2023-11-14
GBP,0.801,1.248,2023-11-14
INR,82.951,0.012,2023-11-14
AUD,1.541,0.649,2023-11-14
CAD,1.371,0.729,2023-11-14
SGD,1.351,0.74,2023-11-14
CHF,0.891,1.123,2023-11-14
CNY,7.231,0.138,2023-11-14
NZD,1.671,0.598,2023-11-14
HKD,7.807,0.128,2023-11-14
MXN,17.404,0.057,2023-11-14
PHP,55.928,0.018,2023-11-14
PLN,4.054,0.247,2023-11-14
PEN,3.781,0.264,2023-11-14
EUR,0.922,1.085,2023-11-15
GBP,0.805,1.243,2023-11-15
INR,83.135,0.012,2023-11-15
AUD,1.534,0.652,2023-11-15
CAD,1.367,0.732,2023-11-15
SGD,1.35,0.741,2023-11-15
CHF,0.887,1.127,2023-11-15
CNY,7.24,0.138,2023-11-15
NZD,1.659,0.603,2023-11-15
HKD,7.807,0.128,2023-11-15
MXN,17.333,0.058,2023-11-15
PHP,55.752,0.018,2023-11-15
PLN,4.048,0.247,2023-11-15
PEN,3.771,0.265,2023-11-15
EUR,0.922,1.085,2023-11-16
GBP,0.805,1.242,2023-11-16
INR,83.237,0.012,2023-11-16
AUD,1.547,0.646,2023-11-16
CAD,1.377,0.726,2023-11-16
SGD,1.348,0.742,2023-11-16
CHF,0.888,1.126,2023-11-16
CNY,7.236,0.138,2023-11-16
NZD,1.673,0.598,2023-11-16
HKD,7.803,0.128,2023-11-16
MXN,17.308,0.058,2023-11-16
PHP,55.725,0.018,2023-11-16
PLN,4.037,0.248,2023-11-16
PEN,3.823,0.262,2023-11-16
EUR,0.919,1.088,2023-11-17
GBP,0.805,1.243,2023-11-17
INR,83.261,0.012,2023-11-17
AUD,1.54,0.649,2023-11-17
CAD,1.374,0.728,2023-11-17
SGD,1.345,0.744,2023-11-17
CHF,0.887,1.127,2023-11-17
CNY,7.212,0.139,2023-11-17
NZD,1.676,0.597,2023-11-17
HKD,7.798,0.128,2023-11-17
MXN,17.215,0.058,2023-11-17
PHP,55.497,0.018,2023-11-17
PLN,4.037,0.248,2023-11-17
PEN,3.773,0.265,2023-11-17
EUR,0.917,1.091,2023-11-18
GBP,0.803,1.246,2023-11-18
INR,83.296,0.012,2023-11-18
AUD,1.537,0.651,2023-11-18
CAD,1.372,0.729,2023-11-18
SGD,1.344,0.744,2023-11-18
CHF,0.886,1.129,2023-11-18
CNY,7.203,0.139,2023-11-18
NZD,1.668,0.599,2023-11-18
HKD,7.797,0.128,2023-11-18
MXN,17.224,0.058,2023-11-18
PHP,55.542,0.018,2023-11-18
PLN,4.018,0.249,2023-11-18
PEN,3.783,0.264,2023-11-18
EUR,0.918,1.089,2023-11-19
GBP,0.802,1.246,2023-11-19
INR,83.288,0.012,2023-11-19
AUD,1.536,0.651,2023-11-19
CAD,1.372,0.729,2023-11-19
SGD,1.343,0.744,2023-11-19
CHF,0.886,1.129,2023-11-19
CNY,7.207,0.139,2023-11-19
NZD,1.669,0.599,2023-11-19
HKD,7.795,0.128,2023-11-19
MXN,17.219,0.058,2023-11-19
PHP,55.559,0.018,2023-11-19
PLN,4.018,0.249,2023-11-19
PEN,3.774,0.265,2023-11-19
EUR,0.914,1.094,2023-11-20
GBP,0.8,1.25,2023-11-20
INR,83.35,0.012,2023-11-20
AUD,1.525,0.656,2023-11-20
CAD,1.372,0.729,2023-11-20
SGD,1.338,0.747,2023-11-20
CHF,0.884,1.131,2023-11-20
CNY,7.157,0.14,2023-11-20
NZD,1.659,0.603,2023-11-20
HKD,7.793,0.128,2023-11-20
MXN,17.131,0.058,2023-11-20
PHP,55.275,0.018,2023-11-20
PLN,3.982,0.251,2023-11-20
PEN,3.75,0.267,2023-11-20
EUR,0.915,1.092,2023-11-21
GBP,0.798,1.254,2023-11-21
INR,83.275,0.012,2023-11-21
AUD,1.523,0.657,2023-11-21
CAD,1.369,0.73,2023-11-21
SGD,1.337,0.748,2023-11-21
CHF,0.883,1.132,2023-11-21
CNY,7.113,0.141,2023-11-21
NZD,1.65,0.606,2023-11-21
HKD,7.795,0.128,2023-11-21
MXN,17.215,0.058,2023-11-21
PHP,55.4,0.018,2023-11-21
PLN,4.0,0.25,2023-11-21
PEN,3.743,0.267,2023-11-21
EUR,0.92,1.087,2023-11-22
GBP,0.802,1.246,2023-11-22
INR,83.308,0.012,2023-11-22
AUD,1.531,0.653,2023-11-22
CAD,1.374,0.728,2023-11-22
SGD,1.343,0.745,2023-11-22
CHF,0.885,1.129,2023-11-22
CNY,7.152,0.14,2023-11-22
NZD,1.664,0.601,2023-11-22
HKD,7.797,0.128,2023-11-22
MXN,17.209,0.058,2023-11-22
PHP,55.566,0.018,2023-11-22
PLN,4.018,0.249,2023-11-22
PEN,3.746,0.267,2023-11-22
EUR,0.917,1.091,2023-11-23
GBP,0.798,1.253,2023-11-23
INR,83.312,0.012,2023-11-23
AUD,1.524,0.656,2023-11-23
CAD,1.369,0.73,2023-11-23
SGD,1.341,0.746,2023-11-23
CHF,0.884,1.132,2023-11-23
CNY,7.122,0.14,2023-11-23
NZD,1.653,0.605,2023-11-23
HKD,7.798,0.128,2023-11-23
MXN,17.174,0.058,2023-11-23
PHP,55.41,0.018,2023-11-23
PLN,4.01,0.249,2023-11-23
PEN,3.739,0.267,2023-11-23
EUR,0.915,1.093,2023-11-24
GBP,0.794,1.26,2023-11-24
INR,83.365,0.012,2023-11-24
AUD,1.519,0.658,2023-11-24
CAD,1.361,0.735,2023-11-24
SGD,1.34,0.746,2023-11-24
CHF,0.882,1.134,2023-11-24
CNY,7.149,0.14,2023-11-24
NZD,1.644,0.608,2023-11-24
HKD,7.793,0.128,2023-11-24
MXN,17.128,0.058,2023-11-24
PHP,55.428,0.018,2023-11-24
PLN,3.992,0.25,2023-11-24
PEN,3.733,0.268,2023-11-24
EUR,0.914,1.095,2023-11-25
GBP,0.793,1.26,2023-11-25
INR,83.343,0.012,2023-11-25
AUD,1.519,0.658,2023-11-25
CAD,1.364,0.733,2023-11-25
SGD,1.34,0.746,2023-11-25
CHF,0.883,1.133,2023-11-25
CNY,7.131,0.14,2023-11-25
NZD,1.645,0.608,2023-11-25
HKD,7.793,0.128,2023-11-25
MXN,17.1,0.058,2023-11-25
PHP,55.431,0.018,2023-11-25
PLN,3.992,0.251,2023-11-25
PEN,3.735,0.268,2023-11-25
EUR,0.915,1.093,2023-11-26
GBP,0.793,1.26,2023-11-26
INR,83.344,0.012,2023-11-26
AUD,1.519,0.658,2023-11-26
CAD,1.364,0.733,2023-11-26
SGD,1.34,0.746,2023-11-26
CHF,0.883,1.133,2023-11-26
CNY,7.147,0.14,2023-11-26
NZD,1.645,0.608,2023-11-26
HKD,7.791,0.128,2023-11-26
MXN,17.116,0.058,2023-11-26
PHP,55.431,0.018,2023-11-26
PLN,3.99,0.251,2023-11-26
PEN,3.735,0.268,2023-11-26
EUR,0.914,1.094,2023-11-27
GBP,0.793,1.261,2023-11-27
INR,83.356,0.012,2023-11-27
AUD,1.516,0.66,2023-11-27
CAD,1.364,0.733,2023-11-27
SGD,1.338,0.748,2023-11-27
CHF,0.881,1.135,2023-11-27
CNY,7.127,0.14,2023-11-27
NZD,1.643,0.609,2023-11-27
HKD,7.792,0.128,2023-11-27
MXN,17.157,0.058,2023-11-27
PHP,55.48,0.018,2023-11-27
PLN,3.975,0.252,2023-11-27
PEN,3.721,0.269,2023-11-27
EUR,0.909,1.1,2023-11-28
GBP,0.787,1.271,2023-11-28
INR,83.346,0.012,2023-11-28
AUD,1.501,0.666,2023-11-28
CAD,1.356,0.737,2023-11-28
SGD,1.331,0.751,2023-11-28
CHF,0.876,1.141,2023-11-28
CNY,7.11,0.141,2023-11-28
NZD,1.627,0.615,2023-11-28
HKD,7.797,0.128,2023-11-28
MXN,17.121,0.058,2023-11-28
PHP,55.397,0.018,2023-11-28
PLN,3.931,0.254,2023-11-28
PEN,3.729,0.268,2023-11-28
EUR,0.912,1.097,2023-11-29
GBP,0.788,1.269,2023-11-29
INR,83.336,0.012,2023-11-29
AUD,1.511,0.662,2023-11-29
CAD,1.36,0.735,2023-11-29
SGD,1.333,0.75,2023-11-29
CHF,0.875,1.142,2023-11-29
CNY,7.108,0.141,2023-11-29
NZD,1.626,0.615,2023-11-29
HKD,7.806,0.128,2023-11-29
MXN,17.208,0.058,2023-11-29
PHP,55.457,0.018,2023-11-29
PLN,3.96,0.253,2023-11-29
PEN,3.734,0.268,2023-11-29
EUR,0.917,1.091,2023-11-30
GBP,0.791,1.264,2023-11-30
INR,83.384,0.012,2023-11-30
AUD,1.512,0.661,2023-11-30
CAD,1.359,0.736,2023-11-30
SGD,1.336,0.749,2023-11-30
CHF,0.873,1.146,2023-11-30
CNY,7.116,0.141,2023-11-30
NZD,1.622,0.616,2023-11-30
HKD,7.81,0.128,2023-11-30
MXN,17.381,0.058,2023-11-30
PHP,55.476,0.018,2023-11-30
PLN,3.989,0.251,2023-11-30
